"x","y","z","nObs"
2843047.80012981,4594446.42893017,45987,12
2889347.80012981,4594446.42893017,45988,1
2935647.80012981,4594446.42893017,45989,6
2981947.80012981,4594446.42893017,45990,3
3120847.80012981,4594446.42893017,45993,9
3167147.80012981,4594446.42893017,45994,24
3259747.80012981,4594446.42893017,45996,1
10065847.8001298,4594446.42893017,46143,1
-2203652.19987019,4491446.42893017,46428,4
-2157352.19987019,4491446.42893017,46429,47
-2111052.19987019,4491446.42893017,46430,55
-2064752.19987019,4491446.42893017,46431,677
-2018452.19987019,4491446.42893017,46432,77
-1972152.19987019,4491446.42893017,46433,137
-1925852.19987019,4491446.42893017,46434,3
-1879552.19987019,4491446.42893017,46435,56
-1833252.19987019,4491446.42893017,46436,127
-1786952.19987019,4491446.42893017,46437,5
-1740652.19987019,4491446.42893017,46438,52
-1694352.19987019,4491446.42893017,46439,83
-1648052.19987019,4491446.42893017,46440,209
-1601752.19987019,4491446.42893017,46441,104
-1555452.19987019,4491446.42893017,46442,134
-1509152.19987019,4491446.42893017,46443,56
-1462852.19987019,4491446.42893017,46444,42
-1416552.19987019,4491446.42893017,46445,17
-1370252.19987019,4491446.42893017,46446,6
-1323952.19987019,4491446.42893017,46447,52
-1277652.19987019,4491446.42893017,46448,2
-1231352.19987019,4491446.42893017,46449,17
-1185052.19987019,4491446.42893017,46450,4
-1138752.19987019,4491446.42893017,46451,19
-1092452.19987019,4491446.42893017,46452,26
-1046152.19987019,4491446.42893017,46453,82
-999852.199870186,4491446.42893017,46454,35
-953552.199870186,4491446.42893017,46455,1
-907252.199870186,4491446.42893017,46456,10
-860952.199870186,4491446.42893017,46457,5
-814652.199870186,4491446.42893017,46458,4
-536852.199870186,4491446.42893017,46464,3
-444252.199870186,4491446.42893017,46466,23
-351652.199870186,4491446.42893017,46468,13
-305352.199870186,4491446.42893017,46469,18
-259052.199870186,4491446.42893017,46470,62
-212752.199870186,4491446.42893017,46471,45
-166452.199870186,4491446.42893017,46472,27
-120152.199870186,4491446.42893017,46473,6
-73852.1998701859,4491446.42893017,46474,494
-27552.1998701859,4491446.42893017,46475,105
18747.8001298141,4491446.42893017,46476,498
65047.8001298141,4491446.42893017,46477,646
111347.800129814,4491446.42893017,46478,84
157647.800129814,4491446.42893017,46479,85
203947.800129814,4491446.42893017,46480,77
250247.800129814,4491446.42893017,46481,11
296547.800129814,4491446.42893017,46482,14
342847.800129814,4491446.42893017,46483,51
389147.800129814,4491446.42893017,46484,33
435447.800129814,4491446.42893017,46485,6
481747.800129814,4491446.42893017,46486,13
528047.800129814,4491446.42893017,46487,33
574347.800129814,4491446.42893017,46488,10
620647.800129814,4491446.42893017,46489,62
666947.800129814,4491446.42893017,46490,15
713247.800129814,4491446.42893017,46491,12
898447.800129814,4491446.42893017,46495,4
944747.800129814,4491446.42893017,46496,8
991047.800129814,4491446.42893017,46497,9
1037347.80012981,4491446.42893017,46498,6
1083647.80012981,4491446.42893017,46499,36
1129947.80012981,4491446.42893017,46500,15
1176247.80012981,4491446.42893017,46501,6
1222547.80012981,4491446.42893017,46502,33
1268847.80012981,4491446.42893017,46503,42
1315147.80012981,4491446.42893017,46504,22
1361447.80012981,4491446.42893017,46505,4
1407747.80012981,4491446.42893017,46506,63
1546647.80012981,4491446.42893017,46509,4
1592947.80012981,4491446.42893017,46510,1
1639247.80012981,4491446.42893017,46511,5
1824447.80012981,4491446.42893017,46515,1
1870747.80012981,4491446.42893017,46516,43
1917047.80012981,4491446.42893017,46517,70
1963347.80012981,4491446.42893017,46518,49
2009647.80012981,4491446.42893017,46519,104
2055947.80012981,4491446.42893017,46520,85
2102247.80012981,4491446.42893017,46521,89
2148547.80012981,4491446.42893017,46522,26
2194847.80012981,4491446.42893017,46523,3
2241147.80012981,4491446.42893017,46524,19
2287447.80012981,4491446.42893017,46525,95
2426347.80012981,4491446.42893017,46528,66
2704147.80012981,4491446.42893017,46534,2
2750447.80012981,4491446.42893017,46535,20
-2203652.19987019,4388446.42893017,46978,4
-2157352.19987019,4388446.42893017,46979,70
-2111052.19987019,4388446.42893017,46980,422
-2064752.19987019,4388446.42893017,46981,267
-2018452.19987019,4388446.42893017,46982,293
-1972152.19987019,4388446.42893017,46983,8
-1925852.19987019,4388446.42893017,46984,160
-1879552.19987019,4388446.42893017,46985,1
-1833252.19987019,4388446.42893017,46986,141
-1740652.19987019,4388446.42893017,46988,54
-1694352.19987019,4388446.42893017,46989,10
-1648052.19987019,4388446.42893017,46990,142
-1601752.19987019,4388446.42893017,46991,111
-1555452.19987019,4388446.42893017,46992,13
-1509152.19987019,4388446.42893017,46993,59
-1462852.19987019,4388446.42893017,46994,21
-1416552.19987019,4388446.42893017,46995,121
-1370252.19987019,4388446.42893017,46996,112
-1323952.19987019,4388446.42893017,46997,14
-1277652.19987019,4388446.42893017,46998,39
-1231352.19987019,4388446.42893017,46999,59
-1185052.19987019,4388446.42893017,47000,25
-1138752.19987019,4388446.42893017,47001,29
-1092452.19987019,4388446.42893017,47002,44
-1046152.19987019,4388446.42893017,47003,16
-999852.199870186,4388446.42893017,47004,46
-953552.199870186,4388446.42893017,47005,13
-907252.199870186,4388446.42893017,47006,53
-860952.199870186,4388446.42893017,47007,20
-814652.199870186,4388446.42893017,47008,50
-768352.199870186,4388446.42893017,47009,4
-722052.199870186,4388446.42893017,47010,36
-675752.199870186,4388446.42893017,47011,34
-629452.199870186,4388446.42893017,47012,17
-583152.199870186,4388446.42893017,47013,42
-490552.199870186,4388446.42893017,47015,53
-444252.199870186,4388446.42893017,47016,1
-397952.199870186,4388446.42893017,47017,28
-351652.199870186,4388446.42893017,47018,56
-305352.199870186,4388446.42893017,47019,34
-259052.199870186,4388446.42893017,47020,41
-212752.199870186,4388446.42893017,47021,6
-166452.199870186,4388446.42893017,47022,56
-120152.199870186,4388446.42893017,47023,19
-73852.1998701859,4388446.42893017,47024,35
-27552.1998701859,4388446.42893017,47025,107
18747.8001298141,4388446.42893017,47026,127
65047.8001298141,4388446.42893017,47027,58
111347.800129814,4388446.42893017,47028,181
157647.800129814,4388446.42893017,47029,102
203947.800129814,4388446.42893017,47030,156
250247.800129814,4388446.42893017,47031,69
296547.800129814,4388446.42893017,47032,65
342847.800129814,4388446.42893017,47033,68
389147.800129814,4388446.42893017,47034,27
435447.800129814,4388446.42893017,47035,16
481747.800129814,4388446.42893017,47036,24
528047.800129814,4388446.42893017,47037,43
574347.800129814,4388446.42893017,47038,51
620647.800129814,4388446.42893017,47039,56
666947.800129814,4388446.42893017,47040,10
713247.800129814,4388446.42893017,47041,4
759547.800129814,4388446.42893017,47042,7
805847.800129814,4388446.42893017,47043,7
852147.800129814,4388446.42893017,47044,14
1129947.80012981,4388446.42893017,47050,8
1176247.80012981,4388446.42893017,47051,2
1222547.80012981,4388446.42893017,47052,13
1268847.80012981,4388446.42893017,47053,35
1315147.80012981,4388446.42893017,47054,17
1407747.80012981,4388446.42893017,47056,13
1454047.80012981,4388446.42893017,47057,22
1500347.80012981,4388446.42893017,47058,5
1546647.80012981,4388446.42893017,47059,1
1592947.80012981,4388446.42893017,47060,47
1685547.80012981,4388446.42893017,47062,2
1778147.80012981,4388446.42893017,47064,6
1824447.80012981,4388446.42893017,47065,2
1870747.80012981,4388446.42893017,47066,8
1917047.80012981,4388446.42893017,47067,11
1963347.80012981,4388446.42893017,47068,57
2009647.80012981,4388446.42893017,47069,16
2055947.80012981,4388446.42893017,47070,42
2102247.80012981,4388446.42893017,47071,8
2148547.80012981,4388446.42893017,47072,8
2194847.80012981,4388446.42893017,47073,152
2287447.80012981,4388446.42893017,47075,43
2333747.80012981,4388446.42893017,47076,9
2380047.80012981,4388446.42893017,47077,90
2426347.80012981,4388446.42893017,47078,6
2472647.80012981,4388446.42893017,47079,112
2518947.80012981,4388446.42893017,47080,96
2565247.80012981,4388446.42893017,47081,30
2611547.80012981,4388446.42893017,47082,76
2657847.80012981,4388446.42893017,47083,71
2750447.80012981,4388446.42893017,47085,33
2796747.80012981,4388446.42893017,47086,100
2843047.80012981,4388446.42893017,47087,223
-2249952.19987019,4285446.42893017,47527,321
-2203652.19987019,4285446.42893017,47528,617
-2157352.19987019,4285446.42893017,47529,382
-2111052.19987019,4285446.42893017,47530,280
-2064752.19987019,4285446.42893017,47531,267
-2018452.19987019,4285446.42893017,47532,45
-1972152.19987019,4285446.42893017,47533,84
-1925852.19987019,4285446.42893017,47534,26
-1879552.19987019,4285446.42893017,47535,113
-1833252.19987019,4285446.42893017,47536,77
-1786952.19987019,4285446.42893017,47537,110
-1740652.19987019,4285446.42893017,47538,60
-1694352.19987019,4285446.42893017,47539,113
-1648052.19987019,4285446.42893017,47540,131
-1601752.19987019,4285446.42893017,47541,39
-1555452.19987019,4285446.42893017,47542,28
-1509152.19987019,4285446.42893017,47543,33
-1462852.19987019,4285446.42893017,47544,17
-1416552.19987019,4285446.42893017,47545,117
-1370252.19987019,4285446.42893017,47546,65
-1323952.19987019,4285446.42893017,47547,107
-1277652.19987019,4285446.42893017,47548,21
-1231352.19987019,4285446.42893017,47549,42
-1185052.19987019,4285446.42893017,47550,15
-1138752.19987019,4285446.42893017,47551,33
-1092452.19987019,4285446.42893017,47552,18
-1046152.19987019,4285446.42893017,47553,50
-999852.199870186,4285446.42893017,47554,18
-953552.199870186,4285446.42893017,47555,58
-907252.199870186,4285446.42893017,47556,24
-860952.199870186,4285446.42893017,47557,22
-814652.199870186,4285446.42893017,47558,17
-768352.199870186,4285446.42893017,47559,54
-722052.199870186,4285446.42893017,47560,32
-675752.199870186,4285446.42893017,47561,41
-629452.199870186,4285446.42893017,47562,12
-583152.199870186,4285446.42893017,47563,8
-490552.199870186,4285446.42893017,47565,14
-444252.199870186,4285446.42893017,47566,2
-397952.199870186,4285446.42893017,47567,19
-351652.199870186,4285446.42893017,47568,2
-305352.199870186,4285446.42893017,47569,34
-259052.199870186,4285446.42893017,47570,31
-212752.199870186,4285446.42893017,47571,61
-166452.199870186,4285446.42893017,47572,41
-120152.199870186,4285446.42893017,47573,40
-73852.1998701859,4285446.42893017,47574,88
-27552.1998701859,4285446.42893017,47575,154
18747.8001298141,4285446.42893017,47576,116
65047.8001298141,4285446.42893017,47577,1098
111347.800129814,4285446.42893017,47578,163
157647.800129814,4285446.42893017,47579,77
203947.800129814,4285446.42893017,47580,279
250247.800129814,4285446.42893017,47581,1
296547.800129814,4285446.42893017,47582,219
342847.800129814,4285446.42893017,47583,108
389147.800129814,4285446.42893017,47584,812
435447.800129814,4285446.42893017,47585,98
481747.800129814,4285446.42893017,47586,285
620647.800129814,4285446.42893017,47589,9
666947.800129814,4285446.42893017,47590,62
898447.800129814,4285446.42893017,47595,5
944747.800129814,4285446.42893017,47596,27
1037347.80012981,4285446.42893017,47598,2
1083647.80012981,4285446.42893017,47599,23
1129947.80012981,4285446.42893017,47600,5
1176247.80012981,4285446.42893017,47601,11
1222547.80012981,4285446.42893017,47602,14
1268847.80012981,4285446.42893017,47603,35
1315147.80012981,4285446.42893017,47604,101
1361447.80012981,4285446.42893017,47605,6
1500347.80012981,4285446.42893017,47608,6
1546647.80012981,4285446.42893017,47609,20
1639247.80012981,4285446.42893017,47611,2
1685547.80012981,4285446.42893017,47612,1
1731847.80012981,4285446.42893017,47613,90
1778147.80012981,4285446.42893017,47614,132
1824447.80012981,4285446.42893017,47615,75
1870747.80012981,4285446.42893017,47616,118
1917047.80012981,4285446.42893017,47617,45
1963347.80012981,4285446.42893017,47618,81
2009647.80012981,4285446.42893017,47619,102
2055947.80012981,4285446.42893017,47620,84
2148547.80012981,4285446.42893017,47622,14
2194847.80012981,4285446.42893017,47623,255
2241147.80012981,4285446.42893017,47624,5
2287447.80012981,4285446.42893017,47625,4
2333747.80012981,4285446.42893017,47626,62
2380047.80012981,4285446.42893017,47627,139
2426347.80012981,4285446.42893017,47628,86
2472647.80012981,4285446.42893017,47629,155
2518947.80012981,4285446.42893017,47630,36
2565247.80012981,4285446.42893017,47631,172
2611547.80012981,4285446.42893017,47632,20
2657847.80012981,4285446.42893017,47633,205
2704147.80012981,4285446.42893017,47634,51
2750447.80012981,4285446.42893017,47635,2
2796747.80012981,4285446.42893017,47636,68
2843047.80012981,4285446.42893017,47637,1
-2296252.19987019,4182446.42893017,48076,7
-2249952.19987019,4182446.42893017,48077,156
-2203652.19987019,4182446.42893017,48078,258
-2157352.19987019,4182446.42893017,48079,828
-2111052.19987019,4182446.42893017,48080,1553
-2064752.19987019,4182446.42893017,48081,553
-2018452.19987019,4182446.42893017,48082,208
-1972152.19987019,4182446.42893017,48083,394
-1925852.19987019,4182446.42893017,48084,18
-1879552.19987019,4182446.42893017,48085,96
-1833252.19987019,4182446.42893017,48086,106
-1786952.19987019,4182446.42893017,48087,122
-1740652.19987019,4182446.42893017,48088,39
-1694352.19987019,4182446.42893017,48089,123
-1648052.19987019,4182446.42893017,48090,27
-1601752.19987019,4182446.42893017,48091,2
-1555452.19987019,4182446.42893017,48092,37
-1462852.19987019,4182446.42893017,48094,30
-1416552.19987019,4182446.42893017,48095,24
-1370252.19987019,4182446.42893017,48096,100
-1323952.19987019,4182446.42893017,48097,197
-1277652.19987019,4182446.42893017,48098,119
-1231352.19987019,4182446.42893017,48099,81
-1185052.19987019,4182446.42893017,48100,43
-1138752.19987019,4182446.42893017,48101,22
-1092452.19987019,4182446.42893017,48102,43
-1046152.19987019,4182446.42893017,48103,90
-999852.199870186,4182446.42893017,48104,21
-953552.199870186,4182446.42893017,48105,36
-907252.199870186,4182446.42893017,48106,61
-860952.199870186,4182446.42893017,48107,96
-814652.199870186,4182446.42893017,48108,15
-768352.199870186,4182446.42893017,48109,70
-722052.199870186,4182446.42893017,48110,65
-675752.199870186,4182446.42893017,48111,52
-629452.199870186,4182446.42893017,48112,66
-583152.199870186,4182446.42893017,48113,125
-536852.199870186,4182446.42893017,48114,12
-490552.199870186,4182446.42893017,48115,20
-444252.199870186,4182446.42893017,48116,8
-397952.199870186,4182446.42893017,48117,34
-351652.199870186,4182446.42893017,48118,45
-305352.199870186,4182446.42893017,48119,42
-259052.199870186,4182446.42893017,48120,46
-212752.199870186,4182446.42893017,48121,25
-166452.199870186,4182446.42893017,48122,13
-120152.199870186,4182446.42893017,48123,87
-73852.1998701859,4182446.42893017,48124,157
-27552.1998701859,4182446.42893017,48125,186
18747.8001298141,4182446.42893017,48126,206
65047.8001298141,4182446.42893017,48127,296
111347.800129814,4182446.42893017,48128,356
157647.800129814,4182446.42893017,48129,312
203947.800129814,4182446.42893017,48130,251
250247.800129814,4182446.42893017,48131,98
296547.800129814,4182446.42893017,48132,140
342847.800129814,4182446.42893017,48133,300
389147.800129814,4182446.42893017,48134,73
435447.800129814,4182446.42893017,48135,209
481747.800129814,4182446.42893017,48136,137
528047.800129814,4182446.42893017,48137,131
574347.800129814,4182446.42893017,48138,153
620647.800129814,4182446.42893017,48139,174
666947.800129814,4182446.42893017,48140,102
713247.800129814,4182446.42893017,48141,135
759547.800129814,4182446.42893017,48142,25
805847.800129814,4182446.42893017,48143,137
852147.800129814,4182446.42893017,48144,130
898447.800129814,4182446.42893017,48145,15
944747.800129814,4182446.42893017,48146,297
991047.800129814,4182446.42893017,48147,65
1037347.80012981,4182446.42893017,48148,26
1083647.80012981,4182446.42893017,48149,96
1129947.80012981,4182446.42893017,48150,47
1176247.80012981,4182446.42893017,48151,55
1222547.80012981,4182446.42893017,48152,10
1268847.80012981,4182446.42893017,48153,53
1315147.80012981,4182446.42893017,48154,44
1361447.80012981,4182446.42893017,48155,163
1407747.80012981,4182446.42893017,48156,112
1454047.80012981,4182446.42893017,48157,322
1500347.80012981,4182446.42893017,48158,204
1546647.80012981,4182446.42893017,48159,154
1592947.80012981,4182446.42893017,48160,92
1639247.80012981,4182446.42893017,48161,166
1685547.80012981,4182446.42893017,48162,422
1731847.80012981,4182446.42893017,48163,104
1778147.80012981,4182446.42893017,48164,203
1824447.80012981,4182446.42893017,48165,253
1870747.80012981,4182446.42893017,48166,295
1917047.80012981,4182446.42893017,48167,148
1963347.80012981,4182446.42893017,48168,134
2009647.80012981,4182446.42893017,48169,56
2055947.80012981,4182446.42893017,48170,37
2102247.80012981,4182446.42893017,48171,134
2148547.80012981,4182446.42893017,48172,192
2194847.80012981,4182446.42893017,48173,4
2241147.80012981,4182446.42893017,48174,236
2287447.80012981,4182446.42893017,48175,216
2333747.80012981,4182446.42893017,48176,370
2380047.80012981,4182446.42893017,48177,410
2426347.80012981,4182446.42893017,48178,9
2518947.80012981,4182446.42893017,48180,207
2565247.80012981,4182446.42893017,48181,12
2611547.80012981,4182446.42893017,48182,220
2657847.80012981,4182446.42893017,48183,108
2704147.80012981,4182446.42893017,48184,134
-2296252.19987019,4079446.42893017,48626,42
-2249952.19987019,4079446.42893017,48627,93
-2203652.19987019,4079446.42893017,48628,379
-2157352.19987019,4079446.42893017,48629,104
-2111052.19987019,4079446.42893017,48630,175
-2064752.19987019,4079446.42893017,48631,184
-2018452.19987019,4079446.42893017,48632,93
-1972152.19987019,4079446.42893017,48633,94
-1925852.19987019,4079446.42893017,48634,25
-1879552.19987019,4079446.42893017,48635,108
-1833252.19987019,4079446.42893017,48636,27
-1786952.19987019,4079446.42893017,48637,212
-1740652.19987019,4079446.42893017,48638,26
-1694352.19987019,4079446.42893017,48639,24
-1648052.19987019,4079446.42893017,48640,19
-1601752.19987019,4079446.42893017,48641,32
-1462852.19987019,4079446.42893017,48644,32
-1370252.19987019,4079446.42893017,48646,71
-1323952.19987019,4079446.42893017,48647,2
-1277652.19987019,4079446.42893017,48648,74
-1231352.19987019,4079446.42893017,48649,60
-1185052.19987019,4079446.42893017,48650,54
-1138752.19987019,4079446.42893017,48651,9
-1092452.19987019,4079446.42893017,48652,45
-1046152.19987019,4079446.42893017,48653,64
-999852.199870186,4079446.42893017,48654,55
-953552.199870186,4079446.42893017,48655,29
-907252.199870186,4079446.42893017,48656,72
-860952.199870186,4079446.42893017,48657,3
-814652.199870186,4079446.42893017,48658,1
-768352.199870186,4079446.42893017,48659,30
-722052.199870186,4079446.42893017,48660,48
-675752.199870186,4079446.42893017,48661,114
-629452.199870186,4079446.42893017,48662,53
-583152.199870186,4079446.42893017,48663,182
-536852.199870186,4079446.42893017,48664,8
-490552.199870186,4079446.42893017,48665,39
-397952.199870186,4079446.42893017,48667,5
-305352.199870186,4079446.42893017,48669,37
-259052.199870186,4079446.42893017,48670,28
-212752.199870186,4079446.42893017,48671,63
-166452.199870186,4079446.42893017,48672,64
-120152.199870186,4079446.42893017,48673,88
-73852.1998701859,4079446.42893017,48674,226
-27552.1998701859,4079446.42893017,48675,118
18747.8001298141,4079446.42893017,48676,198
65047.8001298141,4079446.42893017,48677,371
111347.800129814,4079446.42893017,48678,123
157647.800129814,4079446.42893017,48679,812
203947.800129814,4079446.42893017,48680,427
250247.800129814,4079446.42893017,48681,620
296547.800129814,4079446.42893017,48682,586
342847.800129814,4079446.42893017,48683,223
389147.800129814,4079446.42893017,48684,226
435447.800129814,4079446.42893017,48685,337
481747.800129814,4079446.42893017,48686,386
528047.800129814,4079446.42893017,48687,280
574347.800129814,4079446.42893017,48688,350
620647.800129814,4079446.42893017,48689,232
666947.800129814,4079446.42893017,48690,203
713247.800129814,4079446.42893017,48691,151
759547.800129814,4079446.42893017,48692,100
805847.800129814,4079446.42893017,48693,98
852147.800129814,4079446.42893017,48694,39
898447.800129814,4079446.42893017,48695,80
944747.800129814,4079446.42893017,48696,187
991047.800129814,4079446.42893017,48697,349
1037347.80012981,4079446.42893017,48698,23
1083647.80012981,4079446.42893017,48699,144
1129947.80012981,4079446.42893017,48700,74
1176247.80012981,4079446.42893017,48701,26
1222547.80012981,4079446.42893017,48702,62
1268847.80012981,4079446.42893017,48703,42
1315147.80012981,4079446.42893017,48704,51
1361447.80012981,4079446.42893017,48705,188
1407747.80012981,4079446.42893017,48706,185
1454047.80012981,4079446.42893017,48707,217
1500347.80012981,4079446.42893017,48708,169
1546647.80012981,4079446.42893017,48709,196
1592947.80012981,4079446.42893017,48710,220
1639247.80012981,4079446.42893017,48711,352
1685547.80012981,4079446.42893017,48712,267
1731847.80012981,4079446.42893017,48713,326
1778147.80012981,4079446.42893017,48714,433
1824447.80012981,4079446.42893017,48715,636
1870747.80012981,4079446.42893017,48716,458
1917047.80012981,4079446.42893017,48717,3301
1963347.80012981,4079446.42893017,48718,1966
2009647.80012981,4079446.42893017,48719,2181
2055947.80012981,4079446.42893017,48720,342
2102247.80012981,4079446.42893017,48721,329
2148547.80012981,4079446.42893017,48722,162
2194847.80012981,4079446.42893017,48723,308
2241147.80012981,4079446.42893017,48724,426
2287447.80012981,4079446.42893017,48725,196
2333747.80012981,4079446.42893017,48726,138
2518947.80012981,4079446.42893017,48730,66
2565247.80012981,4079446.42893017,48731,136
-2388852.19987019,3976446.42893017,49174,7
-2342552.19987019,3976446.42893017,49175,344
-2296252.19987019,3976446.42893017,49176,39
-2249952.19987019,3976446.42893017,49177,295
-2203652.19987019,3976446.42893017,49178,59
-2157352.19987019,3976446.42893017,49179,343
-2111052.19987019,3976446.42893017,49180,41
-2064752.19987019,3976446.42893017,49181,98
-1972152.19987019,3976446.42893017,49183,6
-1925852.19987019,3976446.42893017,49184,17
-1879552.19987019,3976446.42893017,49185,2
-1786952.19987019,3976446.42893017,49187,1
-1740652.19987019,3976446.42893017,49188,42
-1694352.19987019,3976446.42893017,49189,40
-1648052.19987019,3976446.42893017,49190,10
-1601752.19987019,3976446.42893017,49191,50
-1555452.19987019,3976446.42893017,49192,9
-1509152.19987019,3976446.42893017,49193,14
-1416552.19987019,3976446.42893017,49195,18
-1323952.19987019,3976446.42893017,49197,56
-1277652.19987019,3976446.42893017,49198,31
-1231352.19987019,3976446.42893017,49199,68
-1185052.19987019,3976446.42893017,49200,109
-1138752.19987019,3976446.42893017,49201,5
-1092452.19987019,3976446.42893017,49202,24
-1046152.19987019,3976446.42893017,49203,2
-953552.199870186,3976446.42893017,49205,41
-907252.199870186,3976446.42893017,49206,25
-860952.199870186,3976446.42893017,49207,61
-814652.199870186,3976446.42893017,49208,1
-768352.199870186,3976446.42893017,49209,134
-722052.199870186,3976446.42893017,49210,114
-675752.199870186,3976446.42893017,49211,138
-629452.199870186,3976446.42893017,49212,185
-583152.199870186,3976446.42893017,49213,84
-536852.199870186,3976446.42893017,49214,38
-490552.199870186,3976446.42893017,49215,26
-397952.199870186,3976446.42893017,49217,30
-351652.199870186,3976446.42893017,49218,46
-305352.199870186,3976446.42893017,49219,41
-259052.199870186,3976446.42893017,49220,16
-212752.199870186,3976446.42893017,49221,39
-166452.199870186,3976446.42893017,49222,52
-120152.199870186,3976446.42893017,49223,45
-73852.1998701859,3976446.42893017,49224,111
-27552.1998701859,3976446.42893017,49225,132
18747.8001298141,3976446.42893017,49226,232
65047.8001298141,3976446.42893017,49227,109
111347.800129814,3976446.42893017,49228,167
157647.800129814,3976446.42893017,49229,400
203947.800129814,3976446.42893017,49230,611
250247.800129814,3976446.42893017,49231,2693
296547.800129814,3976446.42893017,49232,928
342847.800129814,3976446.42893017,49233,325
389147.800129814,3976446.42893017,49234,1459
435447.800129814,3976446.42893017,49235,858
481747.800129814,3976446.42893017,49236,370
528047.800129814,3976446.42893017,49237,163
574347.800129814,3976446.42893017,49238,93
620647.800129814,3976446.42893017,49239,227
666947.800129814,3976446.42893017,49240,145
713247.800129814,3976446.42893017,49241,141
759547.800129814,3976446.42893017,49242,193
852147.800129814,3976446.42893017,49244,169
898447.800129814,3976446.42893017,49245,179
944747.800129814,3976446.42893017,49246,121
991047.800129814,3976446.42893017,49247,163
1037347.80012981,3976446.42893017,49248,335
1083647.80012981,3976446.42893017,49249,212
1129947.80012981,3976446.42893017,49250,87
1222547.80012981,3976446.42893017,49252,6
1268847.80012981,3976446.42893017,49253,105
1315147.80012981,3976446.42893017,49254,31
1361447.80012981,3976446.42893017,49255,347
1407747.80012981,3976446.42893017,49256,230
1454047.80012981,3976446.42893017,49257,227
1500347.80012981,3976446.42893017,49258,127
1546647.80012981,3976446.42893017,49259,117
1592947.80012981,3976446.42893017,49260,177
1639247.80012981,3976446.42893017,49261,74
1685547.80012981,3976446.42893017,49262,608
1731847.80012981,3976446.42893017,49263,960
1778147.80012981,3976446.42893017,49264,362
1824447.80012981,3976446.42893017,49265,625
1870747.80012981,3976446.42893017,49266,773
1917047.80012981,3976446.42893017,49267,2997
1963347.80012981,3976446.42893017,49268,1650
2009647.80012981,3976446.42893017,49269,1125
2055947.80012981,3976446.42893017,49270,346
2102247.80012981,3976446.42893017,49271,582
2148547.80012981,3976446.42893017,49272,847
2194847.80012981,3976446.42893017,49273,26
-2388852.19987019,3873446.42893017,49724,145
-2342552.19987019,3873446.42893017,49725,551
-2296252.19987019,3873446.42893017,49726,332
-2249952.19987019,3873446.42893017,49727,513
-2203652.19987019,3873446.42893017,49728,502
-2157352.19987019,3873446.42893017,49729,170
-2111052.19987019,3873446.42893017,49730,70
-2064752.19987019,3873446.42893017,49731,78
-2018452.19987019,3873446.42893017,49732,162
-1925852.19987019,3873446.42893017,49734,166
-1879552.19987019,3873446.42893017,49735,478
-1833252.19987019,3873446.42893017,49736,50
-1786952.19987019,3873446.42893017,49737,293
-1740652.19987019,3873446.42893017,49738,10
-1694352.19987019,3873446.42893017,49739,108
-1648052.19987019,3873446.42893017,49740,72
-1601752.19987019,3873446.42893017,49741,38
-1555452.19987019,3873446.42893017,49742,52
-1509152.19987019,3873446.42893017,49743,45
-1370252.19987019,3873446.42893017,49746,46
-1323952.19987019,3873446.42893017,49747,22
-1277652.19987019,3873446.42893017,49748,13
-1231352.19987019,3873446.42893017,49749,29
-1185052.19987019,3873446.42893017,49750,5
-1046152.19987019,3873446.42893017,49753,45
-999852.199870186,3873446.42893017,49754,35
-953552.199870186,3873446.42893017,49755,29
-860952.199870186,3873446.42893017,49757,23
-675752.199870186,3873446.42893017,49761,68
-629452.199870186,3873446.42893017,49762,323
-583152.199870186,3873446.42893017,49763,281
-536852.199870186,3873446.42893017,49764,71
-490552.199870186,3873446.42893017,49765,41
-444252.199870186,3873446.42893017,49766,55
-397952.199870186,3873446.42893017,49767,30
-351652.199870186,3873446.42893017,49768,251
-305352.199870186,3873446.42893017,49769,38
-259052.199870186,3873446.42893017,49770,61
-212752.199870186,3873446.42893017,49771,85
-166452.199870186,3873446.42893017,49772,167
-120152.199870186,3873446.42893017,49773,119
-73852.1998701859,3873446.42893017,49774,254
-27552.1998701859,3873446.42893017,49775,297
18747.8001298141,3873446.42893017,49776,297
65047.8001298141,3873446.42893017,49777,145
111347.800129814,3873446.42893017,49778,322
157647.800129814,3873446.42893017,49779,218
203947.800129814,3873446.42893017,49780,268
250247.800129814,3873446.42893017,49781,335
296547.800129814,3873446.42893017,49782,305
342847.800129814,3873446.42893017,49783,425
389147.800129814,3873446.42893017,49784,545
435447.800129814,3873446.42893017,49785,708
481747.800129814,3873446.42893017,49786,199
528047.800129814,3873446.42893017,49787,218
574347.800129814,3873446.42893017,49788,396
620647.800129814,3873446.42893017,49789,37
666947.800129814,3873446.42893017,49790,239
713247.800129814,3873446.42893017,49791,287
759547.800129814,3873446.42893017,49792,54
805847.800129814,3873446.42893017,49793,88
852147.800129814,3873446.42893017,49794,37
898447.800129814,3873446.42893017,49795,168
944747.800129814,3873446.42893017,49796,296
991047.800129814,3873446.42893017,49797,276
1037347.80012981,3873446.42893017,49798,237
1083647.80012981,3873446.42893017,49799,159
1129947.80012981,3873446.42893017,49800,83
1176247.80012981,3873446.42893017,49801,131
1222547.80012981,3873446.42893017,49802,146
1268847.80012981,3873446.42893017,49803,161
1315147.80012981,3873446.42893017,49804,105
1361447.80012981,3873446.42893017,49805,562
1407747.80012981,3873446.42893017,49806,311
