"binomial","LL","rangeSize","Fst","minLat","maxLat","latDif"
"Enallagma_traviatum","Lentic",98861,"Non Forest",29.4291666666961,45.7624999997757,16.3333333330796
"Enallagma_vernale","Lentic",123295,"Non Forest",40.6374999998553,51.3874999996883,10.749999999833
"Enallagma_vesperum","Lentic",184620,"Non Forest",25.6791666667544,49.1374999997233,23.4583333329689
"Enallagma_weewa","Lotic",26578,"Forest",26.0958333334146,42.4708333331602,16.3749999997456
"Epiaeschna_heros","Lentic",130927,"Forest",25.8875000000845,45.5958333331116,19.7083333330271
"Epigomphus_crepidus","Lotic",3761,"Forest",15.6375000002437,22.4708333334709,6.8333333332272
"Epitheca_canis","Lentic",288397,"Non Forest",36.2624999999233,57.012499999601,20.7499999996777
"Epitheca_costalis","Lentic",143350,"Non Forest",27.4708333333932,43.9708333331369,16.4999999997437
"Epitheca_cynosura","Lentic",315925,"Non Forest",25.8458333334184,51.3874999996883,25.5416666662699
"Epitheca_petechialis","Lentic",76439,"Non Forest",25.5125000000903,45.5958333331116,20.0833333330213
"Epitheca_princeps","Lentic",346382,"Non Forest",24.7625000001019,50.8458333330301,26.0833333329282
"Epitheca_semiaquea","Lentic",142199,"Non Forest",28.1791666667155,47.3041666664184,19.1249999997029
"Epitheca_sepia","Lentic",16392,"Non Forest",24.845833333434,33.8041666666282,8.9583333331942
"Epitheca_spinigera","Lentic",420253,"Forest",36.1374999999252,58.5541666662437,22.4166666663185
"Epitheca_spinosa","Lentic",19565,"Forest",30.1375000000184,41.0124999998495,10.8749999998311
"Epitheca_stella","Lentic",5911,"Non Forest",24.7208333334359,30.9708333333388,6.2499999999029
"Erpetogomphus_bothrops","Lotic",24693,"Forest",13.4708333336107,29.262500000032,15.7916666664213
"Erpetogomphus_compositus","Lotic",109415,"Non Forest",25.2208333334282,48.2624999997369,23.0416666663087
"Erpetogomphus_constrictor","Lotic",3338,"Forest",7.88750000036407,26.0125000000825,18.1249999997184
"Erpetogomphus_crotalinus","Lotic",52266,"Non Forest",12.7625000002883,33.3458333333019,20.5833333330136
